"ID";"Sex";"Regions";"Periods";"PopulationOn1January_1"
"10679";"T001038";"GM0063";"2019JJ00";""
"10739";"T001038";"GM0310";"2019JJ00";"   42824"
"10799";"T001038";"GM0894";"2019JJ00";""
"10859";"T001038";"GM0585";"2019JJ00";""
"10919";"T001038";"GM1728";"2019JJ00";"   20175"
"10979";"T001038";"GM0754";"2019JJ00";""
"11039";"T001038";"GM0145";"2019JJ00";""
"11099";"T001038";"GM0376";"2019JJ00";"   11202"
"11159";"T001038";"GM0495";"2019JJ00";""
"11219";"T001038";"GM0496";"2019JJ00";""
"11279";"T001038";"GM0377";"2019JJ00";"   23410"
"11339";"T001038";"GM0378";"2019JJ00";""
"11399";"T001038";"GM0146";"2019JJ00";""
"11459";"T001038";"GM0055";"2019JJ00";""
"11519";"T001038";"GM0895";"2019JJ00";""
"11579";"T001038";"GM0497";"2019JJ00";""
"11639";"T001038";"GM1901";"2019JJ00";"   34462"
"11699";"T001038";"GM0755";"2019JJ00";"   10588"
"11759";"T001038";"GM0009";"2019JJ00";""
"11819";"T001038";"GM0064";"2019JJ00";""
"11879";"T001038";"GM1024";"2019JJ00";""
"11939";"T001038";"GM0057";"2019JJ00";""
"11999";"T001038";"GM0211";"2019JJ00";""
"12059";"T001038";"GM0108";"2019JJ00";""
"12119";"T001038";"GM1681";"2019JJ00";"   25372"
"12179";"T001038";"GM0896";"2019JJ00";""
"12239";"T001038";"GM0897";"2019JJ00";""
"12299";"T001038";"GM0147";"2019JJ00";"   23210"
"12359";"T001038";"GM0654";"2019JJ00";"   22800"
"12419";"T001038";"GM1254";"2019JJ00";""
"12479";"T001038";"GM0499";"2019JJ00";""
"12539";"T001038";"GM0379";"2019JJ00";""
"12599";"T001038";"GM0756";"2019JJ00";"   29065"
"12659";"T001038";"GM0757";"2019JJ00";"   30747"
"12719";"T001038";"GM0212";"2019JJ00";""
"12779";"T001038";"GM0500";"2019JJ00";""
"12839";"T001038";"GM0758";"2019JJ00";"  183873"
"12899";"T001038";"GM0194";"2019JJ00";""
"12959";"T001038";"GM0655";"2019JJ00";""
"13019";"T001038";"GM0311";"2019JJ00";""
"13079";"T001038";"GM0501";"2019JJ00";"   17182"
"13139";"T001038";"GM0380";"2019JJ00";""
"13199";"T001038";"GM0898";"2019JJ00";""
"13259";"T001038";"GM1876";"2019JJ00";"   36212"
"13319";"T001038";"GM0656";"2019JJ00";""
"13379";"T001038";"GM0657";"2019JJ00";""
"13439";"T001038";"GM0213";"2019JJ00";"   20698"
"13499";"T001038";"GM0899";"2019JJ00";"   28103"
"13559";"T001038";"GM0759";"2019JJ00";""
"13619";"T001038";"GM0900";"2019JJ00";""
"13679";"T001038";"GM0312";"2019JJ00";"   15192"
"13739";"T001038";"GM0313";"2019JJ00";"   21576"
"13799";"T001038";"GM0214";"2019JJ00";"   26568"
"13859";"T001038";"GM1035";"2019JJ00";""
"13919";"T001038";"GM0381";"2019JJ00";""
"13979";"T001038";"GM0215";"2019JJ00";""
"14039";"T001038";"GM0901";"2019JJ00";""
"14099";"T001038";"GM0658";"2019JJ00";""
"14159";"T001038";"GM0382";"2019JJ00";""
"14219";"T001038";"GM0502";"2019JJ00";"   66818"
"14279";"T001038";"GM0383";"2019JJ00";"   35772"
"14339";"T001038";"GM0760";"2019JJ00";""
"14399";"T001038";"GM0659";"2019JJ00";""
"14459";"T001038";"GM0109";"2019JJ00";"   35483"
"14519";"T001038";"GM0314";"2019JJ00";""
"14579";"T001038";"GM1706";"2019JJ00";"   20440"
"14639";"T001038";"GM0611";"2019JJ00";""
"14699";"T001038";"GM1684";"2019JJ00";"   24931"
"14759";"T001038";"GM0761";"2019JJ00";""
"14819";"T001038";"GM0216";"2019JJ00";"   28555"
"14879";"T001038";"GM0110";"2019JJ00";""
"14939";"T001038";"GM0148";"2019JJ00";"   28499"
"14999";"T001038";"GM0065";"2019JJ00";""
"15059";"T001038";"GM1891";"2019JJ00";"   18923"
"15119";"T001038";"GM0217";"2019JJ00";""
"15179";"T001038";"GM0503";"2019JJ00";"  103163"
"15239";"T001038";"GM0010";"2019JJ00";"   24716"
"15299";"T001038";"GM0149";"2019JJ00";""
"15359";"T001038";"GM0762";"2019JJ00";"   32362"
"15419";"T001038";"GM0150";"2019JJ00";"   99957"
"15479";"T001038";"GM0218";"2019JJ00";""
"15539";"T001038";"GM0384";"2019JJ00";"   29196"
"15599";"T001038";"GM0151";"2019JJ00";""
"15659";"T001038";"GM0152";"2019JJ00";""
"15719";"T001038";"GM0763";"2019JJ00";""
"15779";"T001038";"GM0111";"2019JJ00";""
"15839";"T001038";"GM1774";"2019JJ00";"   26350"
"15899";"T001038";"GM0764";"2019JJ00";""
"15959";"T001038";"GM1044";"2019JJ00";""
"16019";"T001038";"GM0219";"2019JJ00";""
"16079";"T001038";"GM0504";"2019JJ00";""
"16139";"T001038";"GM0220";"2019JJ00";""
"16199";"T001038";"GM0221";"2019JJ00";"   11148"
"16259";"T001038";"GM0222";"2019JJ00";"   57555"
"16319";"T001038";"GM0066";"2019JJ00";""
"16379";"T001038";"GM0660";"2019JJ00";""
"16439";"T001038";"GM0766";"2019JJ00";"   26051"
"16499";"T001038";"GM0058";"2019JJ00";""
"16559";"T001038";"GM0067";"2019JJ00";""
"16619";"T001038";"GM0315";"2019JJ00";""
"16679";"T001038";"GM0223";"2019JJ00";""
"16739";"T001038";"GM0505";"2019JJ00";"  118654"
"16799";"T001038";"GM0498";"2019JJ00";"   19597"
"16859";"T001038";"GM1047";"2019JJ00";""
"16919";"T001038";"GM0224";"2019JJ00";""
"16979";"T001038";"GM0316";"2019JJ00";""
"17039";"T001038";"GM0506";"2019JJ00";""
"17099";"T001038";"GM0661";"2019JJ00";""
"17159";"T001038";"GM1719";"2019JJ00";"   27150"
"17219";"T001038";"GM0303";"2019JJ00";"   40815"
"17279";"T001038";"GM0767";"2019JJ00";""
"17339";"T001038";"GM0225";"2019JJ00";"   18797"
"17399";"T001038";"GM0507";"2019JJ00";""
"17459";"T001038";"GM0662";"2019JJ00";""
"17519";"T001038";"GM0226";"2019JJ00";"   25332"
"17579";"T001038";"GM1050";"2019JJ00";""
"17639";"T001038";"GM0768";"2019JJ00";""
"17699";"T001038";"GM0769";"2019JJ00";""
"17759";"T001038";"GM0112";"2019JJ00";""
"17819";"T001038";"GM0902";"2019JJ00";""
"17879";"T001038";"GM0227";"2019JJ00";""
"17939";"T001038";"GM1711";"2019JJ00";"   31638"
"17999";"T001038";"GM1315";"2019JJ00";""
"18059";"T001038";"GM0385";"2019JJ00";"   36099"
"18119";"T001038";"GM0228";"2019JJ00";"  115710"
"18179";"T001038";"GM0113";"2019JJ00";""
"18239";"T001038";"GM0317";"2019JJ00";"    9113"
"18299";"T001038";"GM1651";"2019JJ00";""
"18359";"T001038";"GM0011";"2019JJ00";""
"18419";"T001038";"GM0770";"2019JJ00";"   19110"
"18479";"T001038";"GM0771";"2019JJ00";""
"18539";"T001038";"GM0357";"2019JJ00";""
"18599";"T001038";"GM0386";"2019JJ00";""
"18659";"T001038";"GM0387";"2019JJ00";""
"18719";"T001038";"GM0229";"2019JJ00";""
"18779";"T001038";"GM0904";"2019JJ00";""
"18839";"T001038";"GM0905";"2019JJ00";""
"18899";"T001038";"GM1903";"2019JJ00";"   25658"
"18959";"T001038";"GM0772";"2019JJ00";"  231642"
"19019";"T001038";"GM0230";"2019JJ00";"   23086"
"19079";"T001038";"GM1053";"2019JJ00";""
"19139";"T001038";"GM1054";"2019JJ00";""
"19199";"T001038";"GM0663";"2019JJ00";""
"19259";"T001038";"GM0903";"2019JJ00";""
"19319";"T001038";"GM0231";"2019JJ00";""
"19379";"T001038";"GM1055";"2019JJ00";""
"19439";"T001038";"GM0114";"2019JJ00";"  107113"
"19499";"T001038";"GM0773";"2019JJ00";""
"19559";"T001038";"GM0774";"2019JJ00";""
"19619";"T001038";"GM0388";"2019JJ00";"   18507"
"19679";"T001038";"GM0153";"2019JJ00";"  158986"
"19739";"T001038";"GM0232";"2019JJ00";"   33145"
"19799";"T001038";"GM0233";"2019JJ00";"   26858"
"19859";"T001038";"GM0775";"2019JJ00";""
"19919";"T001038";"GM0776";"2019JJ00";""
"19979";"T001038";"GM0234";"2019JJ00";""
"20039";"T001038";"GM1251";"2019JJ00";""
"20099";"T001038";"GM0777";"2019JJ00";"   43774"
"20159";"T001038";"GM0508";"2019JJ00";""
"20219";"T001038";"GM0235";"2019JJ00";""
"20279";"T001038";"GM0012";"2019JJ00";""
"20339";"T001038";"GM0068";"2019JJ00";""
"20399";"T001038";"GM1722";"2019JJ00";""
"20459";"T001038";"GM0778";"2019JJ00";""
"20519";"T001038";"GM0013";"2019JJ00";""
"20579";"T001038";"GM0069";"2019JJ00";""
"20639";"T001038";"GM0070";"2019JJ00";""
"20699";"T001038";"GM1921";"2019JJ00";""
"20759";"T001038";"GM1940";"2019JJ00";"   51430"
"20819";"T001038";"GM0071";"2019JJ00";""
"20879";"T001038";"GM0653";"2019JJ00";""
"20939";"T001038";"GM0115";"2019JJ00";""
"20999";"T001038";"GM0779";"2019JJ00";"   21515"
